month_period,id,masterId,propertyId,roomId,numChild,price,commission,range_booking_arrival,num_of_nights,price_per_day,status_confirmed,status_new,subStatus_noShow,subStatus_nonPayment,subStatus_none,subStatus_walkin,title_Honeymoon_decor,title_RO,title_Teman_kim_kasih_breakfast,title_Twin_bed,arrivalTime_16_30,arrivalTime__,groupNote_Room_Only_,custom1_Paid_OTA,custom1_Paid_by_OTA_Auto_Adjusted,referer_Booking_com,refererEditable_Booking_com,channel_booking,apiSource_Booking_com,allowChannelUpdate_all,allowAutoAction_disable,allowAutoAction_enable,allowReview_default,allowCancellation__type_propertyDefault_,cancelTime_2024_08_05T03_15_10Z,year,month,year_month,total_capacity_nights,used_room_nights,leftover_rooms,cal_days_covered,cal_numAvail_mean,cal_numAvail_min,cal_numAvail_max,cal_numAvail_std,cal_numAvail_zero_days,cal_numAvail_low_days,cal_minStay_mean,cal_minStay_max,cal_minStay_restrict_days,cal_maxStay_mean,cal_multiplier_mean,cal_multiplier_max,cal_override_days,cal_soldout_rate,cal_low_avail_rate,cal_restrict_rate,cal_override_rate,prop_latitude,prop_longitude,prop_checkin_start_min,prop_checkin_end_min,prop_checkout_end_min,prop_booking_cutoff_hour,prop_vat_rate,prop_feature_codes_count,prop_group_keywords_count,prop_type_bedAndBreakfast,prop_type_bungalow,prop_type_guesthouse,prop_type_hotel,prop_type_resort,prop_type_villa,prop_country_ID,ch_channel_count,ch_enabled_ratio,ch_publish_ratio,ch_connect_inventory_ratio,ch_connect_limited_ratio,ch_price_per_day_ratio,review_count,avg_review_score,avg_facilities_score,avg_comfort_score,avg_staff_score,avg_value_score,avg_clean_score,avg_location_score,tfidf_beach,tfidf_clean,tfidf_da,tfidf_de,tfidf_der,tfidf_die,tfidf_el,tfidf_en,tfidf_est,tfidf_et,tfidf_friendly,tfidf_good,tfidf_great,tfidf_hotel,tfidf_la,tfidf_le,tfidf_location,tfidf_muy,tfidf_nice,tfidf_place,tfidf_pool,tfidf_que,tfidf_room,tfidf_sehr,tfidf_staff,tfidf_stay,tfidf_super,tfidf_trs,tfidf_un,tfidf_und,qty,room_cfg_qty_raw,room_cfg_min_price,room_cfg_min_stay,room_cfg_max_stay,room_cfg_max_people,room_cfg_max_adult,room_cfg_max_children,room_cfg_tax_percentage,room_cfg_tax_person,room_cfg_rack_rate,room_cfg_cleaning_fee,room_cfg_security_deposit,room_cfg_sell_priority,room_cfg_room_size,room_cfg_block_after_checkout_days,room_cfg_control_priority,room_cfg_include_in_reports,room_cfg_units_count,room_cfg_has_unallocated_unit,room_cfg_feature_count,room_cfg_roomType_bungalow,room_cfg_roomType_double,room_cfg_roomType_family,room_cfg_roomType_quadruple,room_cfg_roomType_single,room_cfg_roomType_triple,room_cfg_roomType_twin,room_cfg_roomType_twindouble,room_cfg_roomType_villa,room_cfg_restrictionStrategy_staythrough,room_cfg_overbookingProtection_property,room_cfg_overbookingProtection_room,room_cfg_unitAllocation_perbooking,room_fc_airport_shuttle,room_fc_air_conditioning,room_fc_baggage_storage,room_fc_balcony,room_fc_bar,room_fc_bathrobe,room_fc_bathroom,room_fc_bath_or_shower,room_fc_bath_shower,room_fc_bath_toilet,room_fc_beach,room_fc_beach_front,room_fc_beach_view,room_fc_bedroom,room_fc_bed_double,room_fc_bed_single,room_fc_bicycle,room_fc_breakfast_included,room_fc_breakfast_in_room,room_fc_breakfast_possible,room_fc_cable,room_fc_car_available,room_fc_cleaning_included,room_fc_cleaning_possible,room_fc_closets_in_room,room_fc_coffee_maker,room_fc_cycling,room_fc_deck_patio_uncovered,room_fc_desk,room_fc_dining_area,room_fc_dining_room_seats,room_fc_garden,room_fc_hair_dryer,room_fc_hangers,room_fc_iron,room_fc_kettle,room_fc_laptop_friendly,room_fc_linens,room_fc_luxory_linen,room_fc_minibar,room_fc_mountain_biking,room_fc_private_bathroom,room_fc_reception_24_hour,room_fc_refrigerator,room_fc_restaurant,room_fc_room_soundproofed,room_fc_safe,room_fc_satellite,room_fc_scuba_or_snorkeling,room_fc_separate_toilet_area,room_fc_shampoo,room_fc_sitting_area,room_fc_tables_and_chairs,room_fc_toiletries,room_fc_towels,room_fc_tv,room_fc_tv_hd_32_plus,room_fc_wakeupcall,room_fc_wifi
2023-01,37184048.84210526,59002718.901720785,158986,350455,0.0,332865.7894736842,67571.73684210527,10.68421052631579,2.0,207146.4912280702,11.0,8.0,0.0,0.0,19.0,0.0,0.0,19.0,0.0,0.0,19.0,0.0,19.0,19.0,0.0,19.0,19.0,19.0,19.0,19.0,0.0,19.0,19.0,19.0,19.0,2023,1,2023_01,248,42.0,206.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,365.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-8.3609019,116.080564,960,1440,600,24,0,11,1,1,0,0,0,0,0,1,3,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,8.0,7.5,7.5,10.0,7.5,7.5,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5187195276796485,0.0,0.0,0.0,0.0,0.0,0.25416532199404734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8162904144356127,0.0,0.0,8,8,250000,1.0,365,4,4.0,1.0,0,0,0,0,0,5.0,36.0,0,5,1,8,0,33,0,1,0,0,0,0,0,0,0,1,1,0,1,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0
2023-02,37671492.875,57390710.40922822,158986,350455,0.0,775218.75,157369.25,25.625,4.0,216838.06818181818,7.0,1.0,0.0,0.0,8.0,0.0,0.0,8.0,0.0,0.0,8.0,0.0,8.0,8.0,0.0,8.0,8.0,8.0,8.0,8.0,0.0,8.0,8.0,8.0,8.0,2023,2,2023_02,224,40.0,184.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,365.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-8.3609019,116.080564,960,1440,600,24,0,11,1,1,0,0,0,0,0,1,3,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,8.0,7.5,7.5,10.0,7.5,7.5,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5187195276796485,0.0,0.0,0.0,0.0,0.0,0.25416532199404734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8162904144356127,0.0,0.0,8,8,250000,1.0,365,4,4.0,1.0,0,0,0,0,0,5.0,36.0,0,5,1,8,0,33,0,1,0,0,0,0,0,0,0,1,1,0,1,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0
2023-03,39632186.137931034,55982274.64186204,158986,350455,0.0,428241.3793103448,79233.0,0.5517241379310345,2.9310344827586206,195752.08412277378,23.0,6.0,0.0,0.0,28.0,1.0,0.0,29.0,0.0,0.0,29.0,0.0,29.0,29.0,0.0,29.0,29.0,29.0,29.0,29.0,0.0,29.0,29.0,29.0,29.0,2023,3,2023_03,248,110.0,138.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,365.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-8.3609019,116.080564,960,1440,600,24,0,11,1,1,0,0,0,0,0,1,3,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,8.0,7.5,7.5,10.0,7.5,7.5,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5187195276796485,0.0,0.0,0.0,0.0,0.0,0.25416532199404734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8162904144356127,0.0,0.0,8,8,250000,1.0,365,4,4.0,1.0,0,0,0,0,0,5.0,36.0,0,5,1,8,0,33,0,1,0,0,0,0,0,0,0,1,1,0,1,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0
2023-04,40774348.5,60200249.89626083,158986,350455,0.0,407833.3333333333,82790.33333333333,3.6666666666666665,1.8333333333333333,241166.66666666666,5.0,1.0,0.0,0.0,6.0,0.0,0.0,6.0,0.0,0.0,6.0,0.0,6.0,6.0,0.0,6.0,6.0,6.0,6.0,6.0,0.0,6.0,6.0,6.0,6.0,2023,4,2023_04,240,93.0,147.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,365.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-8.3609019,116.080564,960,1440,600,24,0,11,1,1,0,0,0,0,0,1,3,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,1.0,8.0,7.5,7.5,10.0,7.5,7.5,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5187195276796485,0.0,0.0,0.0,0.0,0.0,0.25416532199404734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8162904144356127,0.0,0.0,8,8,250000,1.0,365,4,4.0,1.0,0,0,0,0,0,5.0,36.0,0,5,1,8,0,33,0,1,0,0,0,0,0,0,0,1,1,0,1,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0
2023-05,41983576.51111111,59794777.38745503,158986,350455,0.0,859827.2222222222,174545.04444444444,3.2888888888888888,3.022222222222222,291269.85185185185,37.0,8.0,0.0,0.0,45.0,0.0,0.0,45.0,0.0,0.0,45.0,0.0,45.0,45.0,0.0,45.0,45.0,45.0,45.0,45.0,0.0,45.0,45.0,45.0,45.0,2023,5,2023_05,248,179.0,69.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,365.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-8.3609019,116.080564,960,1440,600,24,0,11,1,1,0,0,0,0,0,1,3,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,5.0,10.0,10.0,10.0,10.0,10.0,10.0,9.5,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.07038609626391071,0.0,0.06778798726246646,0.0,0.0,0.0,0.0,0.0,0.0,0.07284484747493716,0.0,0.0,0.05766801234204667,0.0,0.05244005478772954,0.1380893024037771,0.0,0.0,0.0,0.0,8,8,250000,1.0,365,4,4.0,1.0,0,0,0,0,0,5.0,36.0,0,5,1,8,0,33,0,1,0,0,0,0,0,0,0,1,1,0,1,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0
2023-06,42928410.78787879,58618691.99660075,158986,350455,0.0,667375.2424242424,135477.13636363635,6.893939393939394,2.3636363636363638,284526.81944444444,54.0,12.0,0.0,0.0,66.0,0.0,0.0,66.0,0.0,0.0,66.0,0.0,66.0,66.0,0.0,66.0,66.0,66.0,66.0,66.0,0.0,66.0,66.0,66.0,66.0,2023,6,2023_06,240,204.0,36.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,365.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-8.3609019,116.080564,960,1440,600,24,0,11,1,1,0,0,0,0,0,1,3,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,8.0,9.25,9.285714285714286,9.375,9.375,9.285714285714286,9.6875,9.0625,0.0,0.0735996503583326,0.0,0.08475841857700084,0.0,0.0,0.0,0.010291691390828594,0.03522788084587239,0.10645544526751408,0.0984283787062438,0.028830868573689,0.14420470056836837,0.0,0.07098762839045704,0.12517462749514183,0.11618069836211145,0.0,0.04622699719188697,0.07330614139251852,0.0,0.09626474829984963,0.23041500767747766,0.08899529704768129,0.07333251659062864,0.08888241464378259,0.029627471547927525,0.022322332095489117,0.09298787660885643,0.08777720150127234,8,8,250000,1.0,365,4,4.0,1.0,0,0,0,0,0,5.0,36.0,0,5,1,8,0,33,0,1,0,0,0,0,0,0,0,1,1,0,1,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0
2023-07,44175639.22857143,59054275.28938505,158986,350455,0.04285714285714286,1076798.2571428572,218590.08571428573,4.9714285714285715,2.5714285714285716,438888.63581632654,51.0,19.0,0.0,0.0,69.0,1.0,0.0,70.0,0.0,0.0,70.0,0.0,70.0,70.0,0.0,70.0,70.0,70.0,70.0,70.0,0.0,70.0,70.0,70.0,70.0,2023,7,2023_07,248,208.0,40.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,365.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-8.3609019,116.080564,960,1440,600,24,0,11,1,1,0,0,0,0,0,1,3,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,13.0,9.0,8.846153846153847,9.038461538461538,9.423076923076923,9.038461538461538,9.038461538461538,8.26923076923077,0.0,0.0771312721216862,0.044476278979704374,0.016943032516292564,0.0,0.0,0.0,0.0,0.06837458139777479,0.06194669574144323,0.04903473476421441,0.08261151704455486,0.0585901439829339,0.0,0.10234174588115132,0.051671050146210505,0.05558012953239752,0.0,0.0,0.02158250413666212,0.0,0.0,0.20309752439386533,0.04468390886736454,0.06037664976539143,0.0,0.01954624602861286,0.0766482592939883,0.03051841432166661,0.04407231171343496,8,8,250000,1.0,365,4,4.0,1.0,0,0,0,0,0,5.0,36.0,0,5,1,8,0,33,0,1,0,0,0,0,0,0,0,1,1,0,1,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0
2023-08,44705167.209876545,58640751.82008691,158986,350455,0.024691358024691357,1195109.4320987654,242607.22222222222,18.160493827160494,2.888888888888889,410066.61610817164,31.0,50.0,0.0,0.0,81.0,0.0,0.0,81.0,0.0,0.0,81.0,0.0,81.0,81.0,0.0,81.0,81.0,81.0,81.0,81.0,0.0,81.0,81.0,81.0,81.0,2023,8,2023_08,248,247.0,1.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,365.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-8.3609019,116.080564,960,1440,600,24,0,11,1,1,0,0,0,0,0,1,3,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,27.0,8.25925925925926,8.26923076923077,8.846153846153847,10.0,8.88888888888889,8.796296296296296,8.942307692307692,0.0,0.046988833555189534,0.005451902209129981,0.12501726814879024,0.023442102534839457,0.005730750971646297,0.07167505957978383,0.02604158294530035,0.02545715052024234,0.06590897147482852,0.00955993852057643,0.07247601077208712,0.05416758190027272,0.0,0.19050939242049197,0.07930642966255076,0.08307033517239602,0.023776070260026885,0.018755483133765842,0.0,0.0,0.04511485361360341,0.03294277780380331,0.038694717760322295,0.08988364061004292,0.04842839590512994,0.041269358489651624,0.035668520175443745,0.05381267748837471,0.04339327546185863,8,8,250000,1.0,365,4,4.0,1.0,0,0,0,0,0,5.0,36.0,0,5,1,8,0,33,0,1,0,0,0,0,0,0,0,1,1,0,1,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0
2023-09,46284853.666666664,59044706.5578933,158986,350455,0.0,981565.8133333334,199257.92,5.293333333333333,2.6,391269.75866666663,36.0,39.0,0.0,0.0,75.0,0.0,0.0,75.0,0.0,0.0,75.0,0.0,75.0,75.0,0.0,75.0,75.0,75.0,75.0,75.0,0.0,75.0,75.0,75.0,75.0,2023,9,2023_09,240,226.0,14.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,365.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-8.3609019,116.080564,960,1440,600,24,0,11,1,1,0,0,0,0,0,1,3,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,23.0,8.26086956521739,8.636363636363637,8.522727272727273,9.659090909090908,8.636363636363637,8.409090909090908,8.636363636363637,0.01600946514203743,0.026019418804902657,0.06051433235798546,0.10952170881979602,0.013966931626089996,0.035728761792641214,0.05822255865605406,0.04039991833574653,0.006734486493322303,0.0,0.04353816653452637,0.0662954884260898,0.022697981787258154,0.0328000667040857,0.0720978846671283,0.0,0.019016369127360752,0.059383481104805264,0.09613289470097328,0.088680637239407,0.0,0.05675723565523328,0.07696547202953533,0.03414893767414057,0.07868322453873856,0.014611415911420378,0.024493337334936197,0.0,0.01603988712448037,0.04655661300193147,8,8,250000,1.0,365,4,4.0,1.0,0,0,0,0,0,5.0,36.0,0,5,1,8,0,33,0,1,0,0,0,0,0,0,0,1,1,0,1,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0
2023-10,47366411.7,59302852.41795648,158986,350455,0.0,845114.1285714286,171558.1857142857,2.0142857142857142,2.4571428571428573,354497.2116246499,45.0,25.0,0.0,0.0,70.0,0.0,0.0,70.0,0.0,0.0,70.0,0.0,70.0,70.0,0.0,70.0,70.0,70.0,70.0,70.0,0.0,70.0,70.0,70.0,70.0,2023,10,2023_10,248,214.0,34.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,365.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-8.3609019,116.080564,960,1440,600,24,0,11,1,1,0,0,0,0,0,1,3,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,13.0,7.923076923076923,8.076923076923077,8.076923076923077,9.423076923076923,8.076923076923077,8.26923076923077,8.846153846153847,0.0,0.09994308114830737,0.05134634020063427,0.08379634177944138,0.0,0.0,0.030635120101178918,0.016539896056456196,0.04754649877542415,0.051958148663080614,0.04903473476421441,0.10365185197151582,0.03717698735356788,0.04394718654202276,0.08012820940237267,0.06832475837829786,0.007452925839871182,0.06193561429382514,0.051115715414696956,0.03595273906705411,0.0,0.0193229932640964,0.10319602521959305,0.05158604179195857,0.1510171369548493,0.06125772353669627,0.017038571804898987,0.00931765613343658,0.034263810092046126,0.0,8,8,250000,1.0,365,4,4.0,1.0,0,0,0,0,0,5.0,36.0,0,5,1,8,0,33,0,1,0,0,0,0,0,0,0,1,1,0,1,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0
