property_id,property_name,room_id,room_name,quantity
158986,Abams Gili Air,350455,Double Room with Terrace,8
158990,Pandan Bungalow,350464,Superior Bungalow,5
158990,Pandan Bungalow,462631,Superior Single,1
158990,Pandan Bungalow,462632,Deluxe Room,4
158990,Pandan Bungalow,462634,Wooden Deluxe Bungalow,2
158990,Pandan Bungalow,502851,Deluxe Bungalow,1
161014,Mantra Gili,354680,King Room with Balcony,1
161014,Mantra Gili,354681,King Room with Pool View,1
161014,Mantra Gili,354682,Deluxe Double or Twin Room with Pool Access,4
161014,Mantra Gili,354683,Deluxe Double or Twin Room with Balcony,4
163277,Kaluku Gili Resort,359135,Deluxe Garden View,5
163277,Kaluku Gili Resort,359136,Bungalow Sea View,4
163277,Kaluku Gili Resort,359142,Deluxe Pool View,10
169082,Bougenville Homestay,370147,Double Room No 1,1
169082,Bougenville Homestay,370148,Double Room 2 & 4,2
169082,Bougenville Homestay,370149,Twin Room No 3,1
169082,Bougenville Homestay,370150,"Hot Water, Quadruple Room 5-6",2
169082,Bougenville Homestay,500275,2 Twin & 1 Double No Hot water,1
174792,Shefa Private Villa,381255,Villa,4
179195,Salili Bungalow,388810,Bungalow Garden View,8
179195,Salili Bungalow,388811,Bungalow Sea View,2
179195,Salili Bungalow,388812,Deluxe Double Room,6
179195,Salili Bungalow,388813,Double Garden View,2
179195,Salili Bungalow,622210,Deluxe Bungalow,3
193394,Bintang Darmawan Villa (BDV),416397,Budget Double Room,5
193394,Bintang Darmawan Villa (BDV),416398,Deluxe Double Room,3
193394,Bintang Darmawan Villa (BDV),416400,Budget Twin Room,3
194837,Villa PhyPhy,419104,Double Room with Pool View,2
194837,Villa PhyPhy,419105,Twin Room with Pool View,3
194837,Villa PhyPhy,419106,Villa with Private Pool,1
194837,Villa PhyPhy,419343,Airbnb A,1
194837,Villa PhyPhy,419344,Airbnb B,1
194837,Villa PhyPhy,419345,Airbnb C,1
194837,Villa PhyPhy,419346,Airbnb D,1
194837,Villa PhyPhy,419347,Airbnb Private 3 BR,1
194837,Villa PhyPhy,419348,Airbnb Private 4 BR,1
194837,Villa PhyPhy,419349,Airbnb Private 5 BR,1
194837,Villa PhyPhy,493968,Airbnb F,1
194837,Villa PhyPhy,493969,Airbnb G,1
194837,Villa PhyPhy,493970,Airbnb H,1
194837,Villa PhyPhy,493972,Airbnb I,1
194837,Villa PhyPhy,493973,Airbnb J,1
194837,Villa PhyPhy,493974,Airbnb K,1
194842,Villa PhyPhy 3,419126,Double Room with Pool View,3
194842,Villa PhyPhy 3,419129,Twin Room with Pool View,2
194842,Villa PhyPhy 3,419279,Airbnb 3A,1
194842,Villa PhyPhy 3,419293,Airbnb 3B,1
194842,Villa PhyPhy 3,419294,Airbnb 3C 1,1
194842,Villa PhyPhy 3,419295,Airbnb 3D,1
194842,Villa PhyPhy 3,419296,Villa with Private Pool,1
194842,Villa PhyPhy 3,493976,Airbnb 3E,1
194842,Villa PhyPhy 3,493977,Airbnb 3F,1
201589,Bungalow No 7,431070,Standard Double or Twin Room,6
201589,Bungalow No 7,431071,Superior Double Room,10
201589,Bungalow No 7,431095,Family Room,1
201589,Bungalow No 7,431098,1 bed room,1
201589,Bungalow No 7,431099,2 bed room,2
201589,Bungalow No 7,431100,4 bed room,4
243134,Sari Gili Bungalow,512298,Deluxe Room,4
243134,Sari Gili Bungalow,512299,Luxury Deluxe Room,2
243134,Sari Gili Bungalow,512300,Superior Room,5
243134,Sari Gili Bungalow,515268,Bungalow Deluxe,3
307448,Salili Resort,640708,Room 1,1
